date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
2022-03-18,0,900043000243266,y,2022,orange,n,2019,0,,4,,m,alive,Upland forest below Otter Cliffs parking lot. Lung tissue herniated upon incision.
2022-03-18,0,900043000243274,y,2022,red,n,2020_2021,0,,4,,m,alive,"Larger pool above 5, left of 6"
2022-03-19,7,900043000243216,y,2022,red,n,2020_2021,0,,5,,m,alive,
2022-03-19,11,900043000243261,y,2022,red,n,2020_2021,0,,5,,m,alive,
2022-03-19,12,900043000243266,y,2022,orange,n,2019,0,,5,,m,alive,Severed herniated lung tissue upon recapture. Hopes are higher for this individual's recovery. 
2022-03-19,5,900043000243274,y,2022,red,n,2020_2021,0,,5,,m,alive,"Accidentally double-tagged, #900043000243219"
2022-03-19,0,900043000243278,y,2022,yellow,n,2017,0,,5,,m,alive,In brush above pool 8
2022-03-19,7,900043000243293,y,2022,none,,2022,0,,5,,m,alive,
2022-03-19,4,900043000243303,y,2022,orange,n,2019,0,,5,,m,alive,
2022-03-20,7,900043000243216,y,2022,red,n,2020_2021,0.29,,5.5,,m,alive,
2022-03-20,0,900043000243247,y,2022,none,,2022,0,,5.5,,m,alive,
2022-03-20,5,900043000243278,y,2022,yellow,n,2017,0.32,,5.5,,m,alive,
2022-03-20,7,900043000243305,y,2022,none,,2022,0.29,,5.5,,m,alive,
2022-03-20,7,900043000243316,y,2022,red,n,2020_2021,0.29,,5.5,,m,alive,
2022-03-20,7,900043000243330,y,2022,red,n,2020_2021,0.29,,5.5,,m,alive,
2022-03-20,7,900043000243336,y,2022,red,n,2020_2021,0.29,,5.5,,m,alive,
2022-03-20,0,900043000243337,y,2022,none,,2022,0,,5.5,,m,alive,
2022-03-20,12,900043000243355,y,2022,orange,n,2019,0.3,,5.5,,m,alive,
2022-03-20,5,900043000243358,y,2022,none,,2022,0.32,,5.5,,m,alive,
2022-03-20,5,900043000243382,y,2022,none,,2022,0.32,,5.5,,m,alive,
2022-03-20,5,900043000243383,y,2022,none,,2022,0.32,,5.5,,m,alive,
2022-03-21,0,900043000243336,y,2022,red,n,2020_2021,0,,2,,m,alive,In moss just above pool 6
2022-03-24,6,900043000243208,y,2022,orange,n,2019,0.19,,4.3,,f,alive,
2022-03-24,7,900043000243216,y,2022,red,n,2020_2021,0.2,,4.4,,m,alive,
2022-03-24,7,900043000243261,y,2022,red,n,2020_2021,0.2,,4.4,,m,alive,
2022-03-24,7,900043000243264,y,2022,orange,n,2019,0.2,,4.4,,m,alive,
2022-03-24,7,900043000243274,y,2022,red,n,2020_2021,0.2,,4.4,,m,alive,
2022-03-24,6,900043000243337,y,2022,none,,2022,0.19,,4.3,,m,alive,
2022-03-25,7,900043000243216,y,2022,red,n,2020_2021,0.27,,5.8,,m,alive,
2022-03-25,7,900043000243261,y,2022,red,n,2020_2021,0.27,,5.8,,m,alive,
2022-03-25,3,900043000243303,y,2022,orange,n,2019,0.29,,5.8,,m,alive,
2022-03-25,13,900043000243305,y,2022,none,,2022,0.3,,5.9,,m,alive,
2022-03-25,0,900043000243325,y,2022,none,,2022,0.19,,5.2,,m,alive,
2022-03-25,6,900043000243347,y,2022,none,,2022,0.27,,5.8,,m,alive,
2022-03-25,0,900043000243359,y,2022,red,n,2020_2021,0.19,,5.2,,f,alive,
2022-03-25,13,900043000243372,y,2022,none,,2022,0.3,,5.9,,m,alive,
2022-03-25,7,900043000243373,y,2022,orange,n,2019,0.27,,5.8,,m,alive,
2022-03-25,1,900043000243379,y,2022,none,,2022,0.36,,5.4,,m,alive,
2022-03-25,7,900043000243384,y,2022,orange,n,2019,0.27,,5.8,,m,alive,Regenerating foot. Color tag extremely subtle
2022-03-25,1,900043000243402,y,2022,orange,n,2019,0.36,,5.4,,m,alive,
2022-03-26,3,900043000243211,y,2022,orange,n,2019,0.29,,8.5,,m,alive,
2022-03-26,7,900043000243216,y,2022,red,n,2020_2021,0.24,,9.2,,m,alive,
2022-03-26,7,900043000243274,y,2022,red,n,2020_2021,0.24,,9.2,,m,alive,Moving to Pool 6
2022-03-26,7,900043000243289,y,2022,pink,n,2018,0.24,,9.2,,m,alive,
2022-03-26,13,900043000243305,y,2022,none,,2022,0.33,,8.8,,m,alive,
2022-03-26,6,900043000243337,y,2022,none,,2022,0.26,,8.2,,m,alive,
2022-03-26,7,900043000243359,y,2022,red,n,2020_2021,0.24,,9.2,,f,alive,
2022-03-26,15,900043000243372,y,2022,none,,2022,0.47,,8.3,,m,alive,
2022-03-26,1,900043000243402,y,2022,orange,n,2019,0.32,,8.5,,m,alive,
2022-03-26,3,not scanned,,,not scanned,,,1.1,,9.1,,,alive,Uncaptured
2022-03-27,7,900043000243216,y,2022,red,n,2020_2021,0.22,,9,,m,alive,
