date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
4/1/23,0,243276,n,2022,red,n,2020_2021,,,,,,alive,
4/1/23,0,243320,n,2022,none,,2022,,,,,,alive,
4/1/23,0,243337,n,2022,none,,2022,,,,,,alive,
4/1/23,0,244838,y,2023,none,,2023,,,,,,alive,injured slightly during injection
4/1/23,1,243403,n,2022,none,,2022,2.24,,5.8,,,alive,
4/1/23,1,243379,n,2022,none,,2022,2.24,,5.8,,,alive,
4/1/23,5,243326,n,2022,orange,n,2019,0.14,,6.1,,,alive,
4/1/23,6,243248,n,2022,red,n,2020_2021,0.18,,5.9,,,alive,
4/1/23,6,243287,n,2022,orange,n,2019,0.18,,5.9,,,alive,
4/1/23,6,243384,n,2022,orange,n,2019,0.18,,5.9,,,alive,
4/1/23,6,244902,y,2023,none,,2023,0.18,,5.9,,,alive,
4/1/23,6,244881,y,2023,none,,2023,0.18,,5.9,,,alive,injured during pit injection
4/1/23,6,244832,y,2023,red,n,2020_2021,0.18,,5.9,,,alive,
4/1/23,7,243348,n,2022,yellow,n,2017,5.8,16.2,7.1,8.4,,alive,
4/1/23,7,243332,n,2022,none,,2022,5.8,16.2,7.1,8.4,,alive,
4/1/23,8,243345,n,2022,orange,n,2019,0.18,,6.1,,,alive,
4/1/23,8,243363,n,2022,,,,0.18,,6.1,,,alive,
4/1/23,8,243337,n,2022,,,,0.18,,6.1,,,alive,
4/1/23,11,243355,n,2022,orange,n,2019,0.32,,6.1,,,alive,
4/1/23,11,none,,,none,,,0.32,,6.1,,m,alive,small; untagged
4/1/23,12,243273,n,2022,red,n,2020_2021,0.6,,6.1,,,alive,
4/1/23,12,243216,n,2022,red,n,2020_2021,0.6,,6.1,,,alive,
4/1/23,12,243281,n,2022,red,n,2020_2021,0.6,,6.1,,,alive,
4/1/23,12,243259,n,2022,yellow,n,2017,0.6,,6.1,,,alive,
4/1/23,12,243365,n,2022,yellow,n,2017,0.6,,6.1,,,alive,
4/1/23,12,243358,n,2022,none,,2022,0.6,,6.1,,,alive,
4/1/23,12,244883,y,2023,none,,2023,0.6,,6.1,,,alive,
4/1/23,12,none,,,none,,,,,,,m,alive,small; untagged
4/1/23,13,243300,n,2022,none,,2022,0.4,,6.2,,,alive,
4/1/23,15,243246,n,2022,orange,n,2019,3,,6.3,,,alive,
4/1/23,15,243293,n,2022,none,,2022,3,,6.3,,,alive,
4/1/23,15,not scanned,,,not scanned,,,3,,6.3,,,alive,uncaptured
4/3/23,0,243257,n,,none,,,0.5,,7.5,,,alive,in water next to pool 15
4/3/23,1,243242,n,,yellow,n,2017,0.24,,7.3,,,alive,
4/3/23,1,not scanned,,,not scanned,,,0.24,,7.3,,,alive,uncaptured
4/3/23,8,243322,n,,orange,n,2019,0.2,,8.7,,,alive,
4/3/23,8,243241,n,,,,,0.2,,8.7,,,alive,
4/3/23,13,none,,,orange,n,2019,0.26,,5.8,,f,alive,"gravid, did not tag"
4/3/23,15,243275,n,,,,,1.63,,7.2,8.3,,alive,
4/4/23,1,243379,n,,none,,,0.19,,9.6,,,alive,
4/4/23,1,244854,y,2023,none,,2023,0.19,,9.6,,,alive,
4/4/23,1,244888,y,2023,none,,2023,0.19,,9.6,,,alive,
4/4/23,8,243345,n,,none,,,0.11,,8,,,alive,a few spermatophores in pool 8
4/4/23,15,none,,,orange,n,2019,1.03,,7.6,,f,alive,"gravid, untagged"
4/6/23,0,243370,n,,red,n,2020_2021,,,,,f,alive,"gravid, untagged"
4/6/23,0,243262,n,,pink,n,2018,,,,,f,alive,"gravid, untagged"
4/6/23,1,243403,n,,pink,n,2018,0.18,,6.5,,,alive,
4/6/23,1,244888,y,2023,none,,2023,0.18,,6.5,,,alive,
4/6/23,1,243379,n,,none,,,0.18,,6.5,,,alive,
4/6/23,1,244838,y,2023,none,,2023,0.18,,6.5,,,alive,"injured earlier during pit injection, looking healthy now"
4/6/23,2,243211,n,,orange,n,2019,0.29,,6.6,,,alive,
4/6/23,2,243279,n,,none,,,0.29,,6.6,,,alive,
4/6/23,2,243284,n,,none,,,0.29,,6.6,,,alive,
4/6/23,2,243286,n,,none,,,0.29,,6.6,,,alive,
