date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
03/27/24,12,not scanned,,,red,n,2020_2021,0.86,,6.6,,m,alive,
03/27/24,7,not scanned,,,none,,,0.7,,7.1,,m,alive,
03/27/24,0,not scanned,,,red,n,2020_2021,,,,,m,alive,near pool 6
03/27/24,0,not scanned,,,yellow,n,2017,,,,,m,alive,near pool 6
03/27/24,0,not scanned,,,orange,n,2019,,,,,,alive,park loop road
03/27/24,0,not scanned,,,none,,,,,,,,alive,park loop road
03/28/24,2,none,,,none,,,8.4,,7.4,,,alive,
03/28/24,2,243286,n,,none,,,8.4,,7.4,,,alive,
03/28/24,2,none,,,none,,,8.4,,7.4,,,alive,
03/28/24,2,none,,,none,,,8.4,,7.4,,,alive,
03/28/24,1,243318,n,,orange,n,2019,2.4,,6.5,,,alive,
03/28/24,5,243354,n,,red,n,2020_2021,2.2,,6.7,,,alive,
03/28/24,5,243304,n,,none,,,2.2,,6.7,,,alive,
03/28/24,0,none,,,none,,,,,,,,alive,
03/28/24,6,243212,n,,none,,,0.31,,6.4,,,alive,
03/28/24,6,243359,n,,red,n,2020_2021,0.31,,6.4,,,alive,
03/28/24,6,244752,n,,red,n,2020_2021,0.31,,6.4,,,alive,
03/28/24,6,244887,n,,red,n,2020_2021,0.31,,6.4,,,alive,
03/28/24,6,none,,,none,,,0.31,,6.4,,,alive,
03/28/24,6,244766,n,,none,,,0.31,,6.4,,,alive,
03/28/24,6,none,,,none,,,0.31,,6.4,,,alive,
03/28/24,7,244764,n,,none,,,0.37,1,6.1,6.1,,alive,
03/28/24,7,243390,n,,yellow,n,2017,0.37,1,6.1,6.1,,alive,
03/28/24,7,none,,,red,n,2020_2021,0.37,1,6.1,6.1,,alive,
03/28/24,7,243357,n,,red,n,2020_2021,0.37,1,6.1,6.1,,alive,
03/28/24,7,243400,n,,none,,,0.37,1,6.1,6.1,,alive,
03/28/24,7,243251,n,,red,n,2020_2021,0.37,1,6.1,6.1,,alive,
03/28/24,7,243287,n,,orange,n,2019,0.37,1,6.1,6.1,,alive,
03/28/24,7,243282,n,,red,n,2020_2021,0.37,1,6.1,6.1,,alive,
03/28/24,7,none,,,none,,,0.37,1,6.1,6.1,,alive,
03/28/24,7,243377,n,,yellow,n,2017,0.37,1,6.1,6.1,,alive,
03/28/24,7,243230,n,,yellow,n,2017,0.37,1,6.1,6.1,,alive,
03/28/24,7,243242,n,,yellow,n,2017,0.37,1,6.1,6.1,,alive,
03/28/24,7,none,,,none,,,0.37,1,6.1,6.1,,alive,
03/28/24,7,243328,n,,red,n,2020_2021,0.37,1,6.1,6.1,,alive,
