date,pool,pit,new_pit (y/n),pit_year,color,new_color (y/n),first_year,pool_salinity,pool_salinity_2,pool_temp,pool_temp2,sex,status,notes
3/27/21,1,,,,orange,n,2019,0.29,,7.1,,,alive,
3/27/21,8,,,,red,y,2020_2021,0.15,,7.7,,,alive,
3/27/21,12,,,,red,y,2020_2021,0.26,,7.7,,,alive,
3/27/21,13,,,,red,y,2020_2021,0.37,,7.3,,,alive,
3/27/21,15,,,,red,y,2020_2021,0.28,,7.7,,,alive,
3/27/21,15,,,,red,y,2020_2021,0.28,,7.7,,,alive,
3/27/21,0,,,,orange,n,2019,,,,,,alive,
3/27/21,0,,,,not scanned,,,,,,,,alive,
3/29/21,15,,,,none,,,21.64,,11.4,,,dead,
3/29/21,15,,,,none,,,21.64,,11.4,,,alive,
3/30/21,7,,,,red,n,2020_2021,0.81,26.8,8,5.2,,alive,
3/30/21,7,,,,red,y,2020_2021,0.81,26.8,8,5.2,,alive,
3/30/21,7,,,,red,y,2020_2021,0.81,26.8,8,5.2,,alive,
3/30/21,8,,,,none,,,25.3,,10.3,,,dead,
3/30/21,11,,,,none,,,26.4,,15,,,dead,
3/30/21,15,,,,red,y,2020_2021,5.57,,14,,,alive,
3/30/21,15,,,,red,y,2020_2021,5.57,,14,,,alive,
4/1/21,1,,,,orange,n,2019,23.86,,8.4,,,alive,
4/1/21,2,,,,red,n,2020_2021,14.94,,9.4,,,alive,
4/1/21,5,,,,red,y,2020_2021,21.1,,8.8,,,alive,
4/1/21,6,,,,orange,n,2019,0.3,,6.5,,,alive,
4/1/21,6,,,,red,y,2020_2021,0.3,,6.5,,,alive,
4/1/21,6,,,,red,y,2020_2021,0.3,,6.5,,,alive,
4/1/21,6,,,,red,y,2020_2021,0.3,,6.5,,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
4/1/21,7,,,,red,y,2020_2021,0.48,19.69,7.3,9.4,,alive,
